Timestamp,Price,Book Size,Gap,Volatility,Queue Size,Cash/testagent1,Cash/testagent2,Cash/testagent3,Cash/testagent4,Cash/testagent5,Shares/testagent1,Shares/testagent2,Shares/testagent3,Shares/testagent4,Shares/testagent5,Net Worth/testagent1,Net Worth/testagent2,Net Worth/testagent3,Net Worth/testagent4,Net Worth/testagent5,testagent1 Orders/Sent,testagent2 Orders/Sent,testagent3 Orders/Sent,testagent4 Orders/Sent,testagent5 Orders/Sent,testagent1 Orders/Matched,testagent2 Orders/Matched,testagent3 Orders/Matched,testagent4 Orders/Matched,testagent5 Orders/Matched,testagent1 Orders/Canceled,testagent2 Orders/Canceled,testagent3 Orders/Canceled,testagent4 Orders/Canceled,testagent5 Orders/Canceled
4632.787882296529,100.98,223,0.25,0.668028785988009,0.47987401542286534,10022528.239999998,9972799.01,10007179.549999999,9994219.760000002,10003273.440000001,9777,10270,9928,10058,9967,11009809.7,11009863.61,11009708.989999998,11009876.600000001,11009741.100000001,348,502,221,411,691,233,294,72,58,227,107,157,149,272,381
4634.787882296529,100.98,226,0.25,0.6638915103388506,1.1413874622803633,10022528.239999998,9972799.01,10007179.549999999,9994219.760000002,10003273.440000001,9777,10270,9928,10058,9967,11009809.7,11009863.61,11009708.989999998,11009876.600000001,11009741.100000001,348,502,221,411,694,233,294,72,58,227,107,157,149,272,381
4673.700861024031,100.98,187,0.25,0.6597283705458135,0.0,10018590.019999998,9976737.23,10007179.549999999,9994219.760000002,10003273.440000001,9816,10231,9928,10058,9967,11009809.699999997,11009863.610000001,11009708.989999998,11009876.600000001,11009741.100000001,387,502,221,411,694,272,333,72,58,227,107,157,149,272,381
4818.157627866777,100.98,205,0.25,0.6555531582645742,0.0,10018590.019999998,9976737.23,10007179.549999999,9994219.760000002,10003273.440000001,9816,10231,9928,10058,9967,11009809.699999997,11009863.610000001,11009708.989999998,11009876.600000001,11009741.100000001,387,502,239,411,694,272,333,72,58,227,107,157,149,272,381
4832.838082358587,100.98,269,0.25,0.6513773732813658,2.1827897167022456,10018590.019999998,9976737.23,10007179.549999999,9994219.760000002,10003273.440000001,9816,10231,9928,10058,9967,11009809.699999997,11009863.610000001,11009708.989999998,11009876.600000001,11009741.100000001,387,502,239,475,694,272,333,72,58,227,107,157,149,272,381
4836.838082358587,100.98,300,0.25,0.6472105993549206,2.7326959243500824,10018590.019999998,9976737.23,10007179.549999999,9994219.760000002,10003273.440000001,9816,10231,9928,10058,9967,11009809.699999997,11009863.610000001,11009708.989999998,11009876.600000001,11009741.100000001,387,502,239,506,694,272,333,72,58,227,107,157,149,272,381
4837.838082358587,100.98,325,0.25,0.6430608135134215,1.2009433928142244,10018590.019999998,9976737.23,10007179.549999999,9994219.760000002,10003273.440000001,9816,10231,9928,10058,9967,11009809.699999997,11009863.610000001,11009708.989999998,11009876.600000001,11009741.100000001,387,502,239,506,719,272,333,72,58,227,107,157,149,272,381
4862.540137889972,100.73,263,0.25,0.6364993165449538,0.4503640860611995,10024835.279999997,9976737.23,10007179.549999999,9994219.760000002,9997028.180000002,9754,10231,9928,10058,10029,11007355.699999997,11007305.860000001,11007226.989999998,11007362.100000001,11007249.350000001,449,502,239,506,719,334,333,72,58,289,107,157,149,272,381
4896.632888928412,100.73,299,0.0799999999999983,0.6301333867574257,0.0975995455719385,10026950.609999998,9976737.23,10007179.549999999,9994219.760000002,9994912.850000001,9733,10231,9928,10058,10050,11007355.699999997,11007305.860000001,11007226.989999998,11007362.100000001,11007249.350000001,527,502,239,506,719,355,333,72,58,310,107,157,149,272,381
5055.743558059309,100.37,254,0.0799999999999983,0.6241889181614457,0.12805713787929562,10029459.859999998,9974227.98,10007179.549999999,9994219.760000002,9994912.850000001,9708,10256,9928,10058,10050,11003851.819999998,11003622.700000001,11003652.909999998,11003741.220000003,11003631.350000001,527,527,239,506,719,380,358,72,58,310,115,169,149,272,381
5065.534321691083,100.37,300,0.0799999999999983,0.6184070169803725,0.5169613186162678,10029459.859999998,9974227.98,10007179.549999999,9994219.760000002,9994912.850000001,9708,10256,9928,10058,10050,11003851.819999998,11003622.700000001,11003652.909999998,11003741.220000003,11003631.350000001,527,527,239,506,765,380,358,72,58,310,115,169,149,272,381
5110.524108558816,100.62,149,0.3299999999999983,0.612245865645494,2.505007504635614,10032671.699999997,9974227.98,10007179.549999999,9987184.360000001,9998736.410000002,9676,10256,9928,10128,10012,11006270.819999997,11006186.700000001,11006134.909999998,11006263.72,11006143.850000001,527,527,239,576,765,412,358,72,128,348,115,169,149,353,381
5114.524108558816,100.29,183,0.269999999999996,0.6073942681662,3.957964685441766,10032671.699999997,9974227.98,10010288.54,9984075.370000001,9998736.410000002,9676,10256,9897,10159,10012,11003077.739999998,11002802.22,11002858.67,11002921.48,11002839.890000002,527,527,335,576,765,412,358,103,159,348,115,169,149,353,381
5251.2919316906045,100.29,201,0.269999999999996,0.6026476040070059,3.3183859109958576,10032671.699999997,9974227.98,10010288.54,9984075.370000001,9998736.410000002,9676,10256,9897,10159,10012,11003077.739999998,11002802.22,11002858.67,11002921.48,11002839.890000002,527,545,335,576,765,412,358,103,159,348,115,169,149,353,381
5291.071519169411,100.29,260,0.3299999999999983,0.5980026681974215,9.318299932087939,10032671.699999997,9974227.98,10010288.54,9984075.370000001,9998736.410000002,9676,10256,9897,10159,10012,11003077.739999998,11002802.22,11002858.67,11002921.48,11002839.890000002,589,545,335,576,765,412,358,103,159,348,115,169,149,353,384
5296.071519169411,100.29,311,0.3299999999999983,0.5934563438861914,12.627984503231346,10032671.699999997,9974227.98,10010288.54,9984075.370000001,9998736.410000002,9676,10256,9897,10159,10012,11003077.739999998,11002802.22,11002858.67,11002921.48,11002839.890000002,640,545,335,576,765,412,358,103,159,348,115,169,149,353,384
5363.071519169411,100.29,337,0.3299999999999983,0.5890056054960644,40.908751353348634,10032671.699999997,9974227.98,10010288.54,9984075.370000001,9998736.410000002,9676,10256,9897,10159,10012,11003077.739999998,11002802.22,11002858.67,11002921.48,11002839.890000002,640,545,361,576,765,412,358,103,159,348,115,169,149,353,384
5377.071519169411,99.94,314,0.3299999999999983,0.5890738796740914,46.47194661841695,10030373.079999998,9974227.98,10012587.159999998,9984075.370000001,9998736.410000002,9699,10256,9874,10159,10012,10999691.139999999,10999212.620000001,10999394.719999999,10999365.830000002,10999335.690000001,640,545,384,576,765,435,358,126,159,348,115,169,149,353,384
5378.071519169411,99.94,355,0.3299999999999983,0.5889561219946398,46.12710434588644,10030373.079999998,9974227.98,10012587.159999998,9984075.370000001,9998736.410000002,9699,10256,9874,10159,10012,10999691.139999999,10999212.620000001,10999394.719999999,10999365.830000002,10999335.690000001,640,586,384,576,765,435,358,126,159,348,115,169,149,353,384
5810.37801861048,99.85,98,-1,0.5902807983726625,0.9341503454070335,10026475.419999998,9970433.68,10020279.12,9984075.370000001,9998736.410000002,9738,10294,9797,10159,10012,10998814.719999999,10998289.58,10998509.569999998,10998451.520000001,10998434.610000001,640,586,461,576,765,474,396,203,159,348,115,169,232,417,417
5850.777367597069,99.85,122,-1,0.5913452690548511,0.5748890823197144,10026475.419999998,9970433.68,10020279.12,9984075.370000001,9998736.410000002,9738,10294,9797,10159,10012,10998814.719999999,10998289.58,10998509.569999998,10998451.520000001,10998434.610000001,640,586,461,651,765,474,396,203,159,348,166,169,232,417,417
5985.565682901314,100.95,21,-1,0.5892879648826678,4.7801217390642705,10026475.419999998,9978004.93,10020279.12,9976504.120000001,9998736.410000002,9738,10219,9797,10234,10012,11009526.519999998,11009612.98,11009286.27,11009626.420000002,11009447.810000002,640,682,461,651,765,474,471,203,234,348,166,190,258,417,417
